"rnk","val","speech","context"
"cpc2","1B","Mr. Speaker, I thank my hon. colleague from Perth—Wellington for his concern for smaller communities and for the spectacular question. With our new building Canada plan, our government will, in fact, provide unprecedented support for infrastructure to communities across this country: stable, predictable funding over the next decade. This will include the gas tax fund, a $22-billion fund, with expanded categories and increased flexibility. Yesterday the Prime Minister announced a new $1-billion fund specifically for smaller communities. We look forward to improving our infrastructure across this country and getting the job done.","infrastructure"
"cpc2","1B","Mr. Speaker, the member will know that Canada Post is encountering dramatic deficits, and those are projected to be up to $1 billion in just a few years. It has a five-point plan it has taken as an independent crown corporation that is arm's-length from the government on its operational decisions. It has released publicly its implementation plan, and I refer the member to read that plan.","canada post"
"cpc2","1B","Mr. Speaker, all members of this House can appreciate how important partnerships in health research are in ensuring continued breakthroughs in medical science. That is why I am so proud of our government's yearly investment of over $1 billion to support nearly 13,000 health researchers. I would like to ask the Minister of Health to please update this House on our government's latest investment to support health research.","health research"
"cpc2","1B","Mr. Speaker, the reality is that there is a lack of demand at Canada Post. It has had a responsibility since 1981 to be self-sufficient. We know that in the coming years, given the fact that the reduction in mail volume is 25%, it could see a deficit of $1 billion coming. That is serious for Canadian taxpayers. That is why Canada Post is taking action. Its five-point plan, once implemented, would see it self-sufficient again in 2019.","canada post"
"cpc2","1B","Mr. Speaker, obviously health is a priority for this government because we have funded now, through the provinces and territories, the largest and highest recorded health transfer dollars in Canadian history. This record funding will reach up to $40 billion annually by the end of the decade. Of course, that does not include the $1 billion in annual funding going to thousands of research projects across this country. However, the reality is that more money is not the solution to some of the health care inefficiencies in our system. We have to work together with the provinces and territories to address this issue, and that is what we are doing, tackling that policy challenge head-on.","health research"
"cpc2","1B","Mr. Speaker, on the first point, apparently good news is bad news for the members opposite. As to Manitoba, federal support to Manitoba is at an all-time high. Manitoba will receive nearly $3.4 billion in federal transfers this year, a 24% increase from under the old Liberal government, including over $1.7 billion through equalization; over $1 billion through the Canada health transfer, an increase of 47% from under the Liberals; and $453 million through the Canada social transfer, an increase of $121 million. Clearly, nothing has been cut.","health transfer to manitoba"
"cpc2","1B","Mr. Speaker, my colleague is misleading people by deliberately neglecting to mention the building Canada plan, one of the four components of the plan. The building Canada plan represents $53 billion over 10 years. It is the longest and most significant plan in the country's history. Municipalities will directly receive 71% for infrastructure. As for the component she mentioned, we have set aside $1 billion for municipalities with 100,000 people or less.","infrastructure"
"cpc2","1B","Mr. Speaker, the reality is that there are one billion fewer pieces of mail being delivered in Canada since 2006. Along with that, of course, comes the reality that the revenues are not exceeding what the expenses are and, in fact, it is estimated that it is going to cost $1 billion per year to Canadian taxpayers. Canada Post has a five-point plan. That five-point plan includes the increase in postal rate stamps today, and we support Canada Post on its path forward to return to self-sufficiency.","canada post"
"cpc2","1B","Mr. Speaker, the fact of the matter is that in 2012 Canada Post delivered one billion fewer pieces of mail than it did in 2006. We know that this trend is going to continue in the future as people use email far more than they use letter mail. In order to deal with this reality, Canada Post has developed a five-point plan. One part of its plan is to increase the price of stamps. That is what happened on April 1. We support Canada Post in this plan because we want to ensure that it is not the taxpayer at the end of the day who is responsible for a $1 billion-a-year shortfall.","canada post"
"cpc2","1B","Mr. Speaker, the New Democrats and the Liberals are the only ones in this House who think that Canada Post is not facing a crisis. They have said that on the record, and it cannot be more wrong. In fact, in 2012, Canada Post delivered one billion fewer addressed letter mail pieces than it did in 2006. That number is plummeting. It is projected to run deficits of nearly $1 billion just six years from now. They want Canada Post to do nothing. We at least support it.","canada post"
"cpc2","1B","Mr. Speaker, that is nonsense. The government has invested over $1 billion in capital investments for VIA Rail. We invest millions every year in its overall network. I am reminded, though, that the member over there is the one who continually and consistently votes against that support for VIA Rail. That is a shameful record. We will do our part.","rail investement"
"cpc2","1B","Mr. Speaker, what Canada Post is doing right now is addressing a very real situation it is facing. It is simple. There are going to be one billion fewer pieces of mail delivered this year than there were in 2006. The reality is that the revenue numbers are not as high as they used to be, so Canada Post needs to react to it by developing a five-point plan. In this plan, it is putting forth a way to ensure that Canadian taxpayers are not on the hook for a $1 billion shortfall in the coming years.","canada post"
"cpc2","1B","Mr. Speaker, this government is firmly behind the plan for Canada Post, the reason being that we do want to have a sustainable Canada Post and postal service going on for many years. Given that Canada Post at the current rate, and in the current scenario, will lose $1 billion a year in the future, their five-point plan makes a lot of sense. That is their way to come back to self-sustainability to ensure that they are not a burden on the taxpayer.","canada post"
"cpc2","1B","Mr. Speaker, first of all, Canada has without a doubt one of the safest and healthiest food systems in the world, and in fact the Canadian Food Inspection Agency assures me that there have been no cuts to front-line food inspectors. Since 2006 there has been a net increase of over 750 inspectors, and economic action plan 2014 just recently committed to hiring even more inspectors. This is on top of the $500 million we have already invested. This brings almost $1 billion in new investment into the food safety system. As I said, we have one of the healthiest and safest food systems in the world and we are going to keep it that way.","food safety"
"cpc2","1B","Mr. Speaker, investments in health research, and particularly research in the area of mental health, are important contributions to both the health of Canadians and indeed the world at large. Millions of Canadians will suffer from neurological illnesses during their lives, impacting their families and their communities. That is why I am proud of our government's yearly investments of up to almost $1 billion to support nearly 13,000 health researchers. Can the Parliamentary Secretary to the Prime Minister update the House on the government's latest investments in health research?","health research"
"cpc2","1B","Mr. Speaker, to be clear, Canada Post has a five-point plan to modernize the postal service. Obviously, we support that Canada Post do something about the bleeding on its balance sheet. It is posted, according to a Conference Board report, to lose up to $1 billion a year by 2020, which is not that far away. This is because Canadians are choosing to communicate in very different ways than they did even a few years ago. We certainly hope that Canada Post can get its balance sheet back under control and ensure that Canadians continue to have mail service.","canada post"
"cpc2","1B","Mr. Speaker, yesterday the Minister of Natural Resources was in British Columbia to announce new pipeline safety measures that will apply to existing and future pipelines. We are proud that Canada is the first country to bring forward a $1-billion absolute liability limit. Regardless of fault, the company will be responsible should a spill occur. These measures demonstrate our government's commitment to the principle of polluter pays and responsible resource development.","pipeline liability"
"cpc2","1B","Mr. Speaker, that is from a member whose party said very clearly that there is no crisis at Canada Post, when in fact it delivered a billion fewer letters in 2012 than it did in 2006. In fact, economists at the Conference Board of Canada have said that Canada Post would be losing up to $1 billion per year if it took no action. It did, with its five-point action plan, as the member knows, and we have heard from Canada Post which says that they are taking into consideration the concerns of seniors and others as they implement their five-point plan, but we expect them to operate on a financially self-sustaining basis.","canada post"
"cpc2","1B","Mr. Speaker, yesterday the Competition Bureau provided a submission to the CRTC that has confirmed what our government has been saying: that Canadians want more choice, lower prices, and better service in the wireless sector. Competition lowers prices and keeps business from becoming complacent. The Competition Bureau estimates that a fourth national wireless carrier could benefit consumers and add $1 billion a year to our economy. Can the parliamentary secretary inform the House of what our government is doing to promote more competition in the wireless sector?","wireless competition"
"cpc2","1B","Mr. Speaker, that is nonsense. The member should know that Canada Post is an arm's-length crown corporation. It operates on a day-to-day basis, including its long-range strategic plans. It does have a five-point plan. Why? It is because the Conference Board of Canada has done a study that indicates, as a result of moving a billion fewer letters than it did six years ago, and that trend forecasts to go into the future, it could lose as much as $1 billion annually. Something needed to be done. Canada Post has taken action. I refer her comments to Canada Post instead.","canada post"
"cpc2","1B","Mr. Speaker, concussions are something I know a little about, having endured one now for a couple of months and continuing to deal daily with a concussion. Canada is a leader when it comes to investing in health care research. We are the single biggest investor in health care research in the entire country, investing over $1 billion. I was very pleased earlier this year in Toronto to make a very sizeable announcement investing in acquired brain injuries.","health research"
"cpc2","1B","Mr. Speaker, everything we do on health care is in collaboration and co-operation with the provinces and territories, including the $40 billion annually at the end of this decade that we are transferring to the provinces for delivery of health care. I am a lot more optimistic than the member opposite. We have seen, through our investment in wait times guarantee of over $1 billion, that the provinces are making very good progress in certain areas. They are meeting nearly 80% of time targets in areas like cataract surgery, hip replacement, hip fracture repair and also in radiation therapy. The provinces are working hard at this and they are getting some very good results.","wait times guarantee"
"cpc2","1B","Mr. Speaker, we are an active partner in reducing wait times. The member knows we provided $1 billion for the provinces and territories to establish the wait times guarantees in their own priorities areas. Importantly, they were able to choose those areas that were priorities for them in their own health systems. We have seen concrete results with, as I said, priority procedures in provinces meeting nearly 80% of time targets, including radiation therapy and other procedures. We are working with the provinces and territories in many other ways to help them reduce wait times and on things like electronic health records. We are also working with them on a national strategy for health human resources to help reduce wait—","wait times guarantee"
"cpc2","1B","Mr. Speaker, this government is unprecedented in its support of Marine Atlantic, totalling $1 billion in the past six years in its costs, both in terms of capital and its operating costs. We encourage Marine Atlantic to continue the great work it does of transiting people across to Newfoundland and, of course, making sure it does so in a responsible way, managing the taxpayers' dollars.","marine atlantic"
"cpc2","1B","Mr. Speaker, the government has shown leadership on wait times by providing $1 billion for the provinces and territories to establish guarantees in wait time priority areas. We have seen some very good progress with the provinces. They have met almost 80% of their time targets, including for radiation therapy, hip replacements, and hip fracture repair. We will continue to work with them, but this is an area they are focused on. I would remind the member as well that we know from the recent report of the Canadian Institute for Health Information that we have the highest level of physicians now working in Canada. This is a tough challenge for the provinces and territories, so we stand ready to support them.","wait times guarantee"
"cpc2","1B","Mr. Speaker, the member should know that in 2012, Canada Post delivered a billion fewer pieces of mail than it did in 2006. In 2013, that number slipped to 1.2 billion fewer pieces. The trend is confirmed in the Conference Board's report that says Canada Post will be posting losses of up to $1 billion per year by 2020. Canada Post has responded with a five-point plan. The member will know that Canada Post is an arm's-length crown corporation. It is carrying out its plan.","canada post"
"cpc2","1B","Mr. Speaker, the member well knows that Canada Post is an arm's-length crown corporation that is responsible for its operational decisions. It also has a legislative mandate to not be a financial burden to the taxpayers of this country. It has a serious and growing problem with 1.2 billion fewer letters being delivered than just a few years ago and deficits which the Conference Board of Canada suggests will reach $1 billion by 2020. It had to take urgent action. It has a five-point plan and it is implementing it.","canada post"
"cpc2","1B","Mr. Speaker, Health Canada includes some of the leading research scientists in this country. In fact, we invest over $1 billion in health research across the country. We are the top investor when it comes to health research in this nation. As I have just indicated, we are quite concerned about the recent allegations and we are investigating.","health research"
"cpc2","1B","Mr. Speaker, he was actually the one who made cuts when he was minister. The president of CBC/Radio-Canada had this to say about the weekend's events: “All of our employees are currently engaged in a transformation process that will enable us to meet the challenges of the new media world that are facing all large broadcasters.” CBC/Radio-Canada is attracting fewer viewers than before, despite the fact that it is receiving more than $1 billion in direct subsidies from taxpayers each year. The changes to CBC/Radio-Canada are a result of that decrease. It is up to CBC/Radio-Canada to deal with it.","cbc"
"cpc2","1B","Mr. Speaker, I have repeated several times in this House that the CBC receives over $1 billion from taxpayers. In fact, their viewership has declined despite getting over $1 billion in direct subsidies every single year from taxpayers. Changes at the CBC are a result of both declining viewership and declining revenues. The CBC is responsible for its own choices. It is up to it to produce, both in English and French, programming that Canadians want to watch and see.","cbc"
"cpc2","1B","Mr. Speaker, our thoughts and prayers remain with the families affected by the tragedies in Moncton. Nonetheless, the changes at Radio-Canada have nothing to do with what happened that day. As I said before, the crown corporation is attracting fewer viewers, even though it receives more than $1 billion every year in taxpayer subsidies. The changes are directly related to that decline. The corporation is responsible for its own decisions. It is up to the CBC to provide Canadians with programming they want in English and French.","cbc"
"cpc2","1B","Mr. Speaker, I will tell my constituents, the young constituents in particular, that I learned how to speak French listening to Radio-Canada. I will encourage them to continue to do so. I will also tell them that we continue to provide CBC/Radio-Canada with over $1 billion every year so it can deliver quality programming that Canadians want to listen to and watch. In the meantime, I will encourage that member to continue to encourage those young people to learn both English and French, and to respect the national broadcaster and the work it does.","cbc"
"cpc2","1B","Mr. Speaker, the member may be right about the uniqueness of the CBC. He is certainly completely offside and wrong about the funding for the CBC. As Hubert Lacroix said, there are “challenges of a rapidly changing media environment to which no conventional broadcaster is immune.” The CBC's viewership has declined, despite getting more than $1 billion in direct subsidies from the federal government and taxpayers. Changes at the CBC are the result of declining viewership in certain demographics and lower-than-expected advertising revenues. That is the issue, and that is what CBC is working on.","cbc"
"cpc2","1B","Mr. Speaker, the changes made by the Canadian Institutes of Health Research's board of governance were made independently. These changes will allow for additional support for researchers as they leverage new dollars. I can assure this House that Canada, through Health Canada and through the Canadian Institutes of Health Research, remains the single largest contributor to health research, spending over $1 billion each year. Since we have formed government, we have invested almost a quarter billion dollars in aboriginal health research.","health research"
"cpc2","1B","Mr. Speaker, I am very proud of the fact that we are, as the Government of Canada, the single largest contributor to health research in Canada, investing $1 billion a year. That supports nearly 13,000 researchers across the country doing everything from basic research to applied research in areas like cancer, HIV-AIDS, dementia, and many more. The issue the member is raising was addressed very clearly in a statement sent out by the head of the CIHR, Dr. Alain Beaudet. I would refer the member to that, and if she wants further information, I am happy to facilitate a meeting with her and him.","health research"
"cpc2","1B","Mr. Speaker, we certainly understand, from a remote and smaller community perspective, that services need to be delivered. That is why the CBC receives over $1 billion a year from the federal government and from its revenue in order to deliver services. The best part of all of this is that the CBC is responsible for the services that it delivers, and we leave it in its hands to do so.","cbc"
"cpc2","1B","Mr. Speaker, despite the member's little jokes, the truth is that the government is already giving CBC/Radio-Canada over $1 billion a year. I have already indicated a number of times what we expect from CBC/Radio-Canada, and that is that it promote programs that Canadians want to watch and listen to in English and in French. That is why it receives $1 billion a year.","cbc"
"cpc2","1B","Mr. Speaker, I will repeat what I said in English. The member knows very well that we provide the CBC with over $1 billion every year. We expect that it will honour its mandate under the Broadcasting Act to provide quality programming in French and English to Canadians. I find it strangely odd that the NDP would suggest that we actually take money away from taxpayers, as we provide a universal child care benefit, to give to an organization that gets over $1 billion a year. That is what I call irresponsible and we will not be going down that road.","cbc"
"cpc2","1B","Mr. Speaker, VIA Rail's primary objective is to provide safe and efficient passenger service, but it has to do it in as cost-effective a manner as possible. The government has supported VIA Rail significantly since 2006. In fact, $1 billion in investment has gone into this passenger rail service. We always ask VIA Rail how it plans to increase ridership and how it plans to improve service. It is its job to get it done, and we expect it to do so.","rail investement"
"cpc2","1B","Mr. Speaker, as the member knows, in the last budget we invested another $390 million in the Canadian Food Inspection Agency. That is almost $1 billion, under our government, into food safety. Today the Conference Board of Canada rates our food safety system number one against 17 other OECD countries. We are very proud of that. We can always do better. In terms of this issue, I am aware of it, and I have asked the Canadian Food Inspection Agency to provide a safe and respectful workplace and environment, as we all expect, and I know it will be doing that.","food safety"
"cpc2","1B","Mr. Speaker, the member knows full well that since our government came to power, we have invested close to $1 billion in the food safety system in this country. What has that resulted in? The Conference Board of Canada rates our food safety system as number one against 17 OECD countries. We will continue to invest in our food safety system and are proud of its record.","food safety"
"cpc2","1B","Mr. Speaker, Canada Post, an independent crown corporation, is responsible for its own operations, which include its commercial and financial decisions. Canadians are choosing means other than letters to communicate with each other. Because of the drop in demand, the volume of mail has plunged by nearly 25% since 2008, and the trend is steady. The Conference Board of Canada expects Canada Post to lose about $1 billion per year between now and 2020.","canada post"
"cpc2","1B","Mr. Speaker, since 2006, the Economic Development Agency of Canada has invested more than $1 billion in all regions of Quebec. We are present throughout Quebec, with 14 regional offices, and we will continue working on developing Quebec's economy as a whole.","transfer to quebec"
"cpc2","1B","Mr. Speaker, I find the question somewhat surprising from that member, who used to be a Liberal minister during the nineties when they cut almost $400 million from CBC. Aside from the hypocrisy, we in fact provide over $1 billion a year to the CBC, and we all know that there are some challenges in the media environment right now. The president has indicated that as well. We will continue, as I said before, to monitor the situation, but I am not going to respond to another question from a party that frankly does not deserve to ask a question about cuts.","cbc"
"cpc2","1B","Mr. Speaker, as I have said many times, we are protecting the CBC with an investment of over $1 billion a year. We are aware that the industry is facing some challenges right now. The president of the CBC has said so himself. That being said, once again, we are providing the Crown corporation with enough funding to fulfill its mandate in English and in French across the country.","cbc"
"cpc2","1B","Mr. Speaker, I greatly appreciate the opportunity to talk about the safe and accountable rail act, which our government introduced last week. I certainly do hope that the opposition members will support it full-throated because of the great things it would do. For example, it would make sure that polluters do pay in the case of an untimely accident with respect to rail. Specifically, it is important to note that it is a very comprehensive regime, with $1 billion in liability insurance backed up by a $250-million compensation fund paid by shippers and all backstopped by being able to go out and charge railroads, should it be in excess of that.","rail liability"
"cpc2","1B","Mr. Speaker, as I mentioned previously, in yesterday's balanced budget, our Conservative government announced a dedicated public transit fund, for the first time ever, moving forward $1 billion every year to support municipalities with their public transit needs. Like never before, this government is getting it done.","public transit"
"cpc2","1B","Mr. Speaker, our budget outlines the action we are taking to address climate change and protect our environment. We have invested significantly to support initiatives that reduce emissions and improve air quality for Canadians, and we will be investing $1 billion in transit annually. Our government has reduced emissions, lowered taxes for middle-class Canadians, and balanced the budget. What do the NDP and the Liberals want to do? They want to raise taxes for middle-class families, throw Canada back into a deficit, and pursue job-killing carbon taxes and pricing schemes. Their position is totally irresponsible.","public transit"
"cpc2","1B","Mr. Speaker, as you know, the government provides the CBC with over $1 billion in taxpayer funding each and every year. It has more than enough resources to continue and complete its mandate, in both official languages, in all regions of the country","cbc"
"cpc2","1B","Mr. Speaker, the health minister has been working in good haste with the provinces to develop a pan-Canadian strategy. What is really important is the research that is going to be done that the federal government is responsible for. We have $1 billion in neuroscience since 2006. We have 400 research projects investigating dementia this year alone. In partnership with the provinces and territories, we are moving. I believe it is an important issue and we need to get to some good solutions. Research is an important process forward.","health research"
"cpc2","1B","Mr. Speaker, that is, again, wrong. We have added $750 million for transit, which will become $1 billion a year, only for transit. Last year, we announced a 10-year plan. We will not re-announce that every year. Probably the Liberals would do that, but we announced that last year and we will deliver it over the next 10 years. We will do our job.","public transit"
"cpc2","1B","Mr. Speaker, as I have said many times, we already give CBC/Radio-Canada more than $1 billion a year to fulfill its mandate. The CRTC has the necessary authority to ensure that CBC/Radio-Canada is fulfilling its mandate in accordance with the act. We fully recognize the important role that CBC/Radio-Canada plays in minority communities and in our remote communities, and that is why we give it $1 million a year.","cbc"
"cpc2","1B","Mr. Speaker, what was just said by that member is absolutely false. I might remind the member that it was in the 1990s that the Liberals, when they were in power, cut the CBC by over $400 million. On this side of the room, we are providing over $1 billion a year to the CBC. It is independent of government in its decision-making. Of course we have seen a change, a drastic change in the media environment to which no broadcaster is immune. It is adjusting and adapting. We will let it do that.","cbc"
"cpc2","1B","Mr. Speaker, as I said, the G7 released a strong, unanimous statement on climate change. We have significantly increased our support for initiatives that reduce pollutants and improve air quality for Canadians. In addition, we will invest $1 billion in public transit every year. What do the Liberals and New Democrats want to do? They want to want to increase taxes for middle-class families, put Canada back into the red and implement a job-killing carbon tax.","public transit"
"cpc2","1B","Mr. Speaker, as I already said, the G7 made a strong, unanimous statement on climate change. We have significantly increased our support for initiatives that reduce pollutants and improve air quality for Canadians. We will invest $1 billion in public transit every year. Our government has reduced greenhouse gas emissions, lowered taxes for middle-class families and balanced the budget.","public transit"
"cpc2","1B","Mr. Speaker, I find it rich coming from a Liberal member. When the Liberals were in government, they did absolutely nothing to address climate change. Our government has taken a sensible approach. We will continue to implement a responsible sector-by-sector regulatory approach that is aligned with our major economic competitors, like the United States, to ensure Canada's economic competitiveness is protected. We have invested significantly to support initiatives that reduce emissions and improve air quality for Canadians, and we will be investing $1 billion into transit annually. We plan to reduce methane emissions from the oil and gas sector, regulate the production of chemicals and nitrogen fertilizers and regulate emissions from natural—","public transit"
"cpc2","1B","Mr. Speaker, I thank the hon. member for his question. I would like to remind the House of this government's record: over the past five years, the defence budget was increased by at least $1 billion a year, and reservists and civilian staff are included in that budget. Of course, there will be operational cuts in this year's budget, but that growth and those increases remain part of this government's record and we are very proud of it.","defence"
"cpc2","1B","Mr. Speaker, our government's record on national defence speaks for itself. On average, the budget for this important department has risen by $1 billion every year since 2006. Obviously, just as Canadians are tightening their belts with regard to the situation this country faced in the global downturn, and as this government moves to achieve operational efficiencies, there will be a strategic review of some costs in National Defence and they will be reported to the House in due course.","defence"
"cpc2","1B","Mr. Speaker, once again, in the context of the strategic review of government spending, of course there will be cuts to the National Defence operating budget. However, for this important department, the facts speak for themselves: an additional $1 billion in spending every year since 2006 is the most important part of this government's record when it comes to National Defence.","defence"
"cpc2","1B","Mr. Speaker, I would refer my colleague to the case of Saskatchewan where, after a wise investment of $242 million and a pilot project on carbon capture, the Government of Saskatchewan found that, in fact, the technology does work and announced the investment of $1 billion into a carbon capture project.","carbon capture"
"cpc2","1B","Mr. Speaker, in addition to over 30% increases to transfer payments made to the provinces and territories for the delivery of health care, our government also provided additional funding, about $1 billion, for the reduction of wait times in their chosen areas. We continue to work collaboratively with the provinces and the territories to roll out the present health accord and to continue to reduce wait times, while respecting the fact that health care is an area of provincial jurisdiction.","wait times guarantee"
"cpc2","1B","Mr. Speaker, our government recognizes the importance of timely access to health care and is working to support the provinces and territories in their efforts to reduce wait times in the targeted areas across the country. We have increased transfers by 6% a year, and 33% since we formed government. At the same time, we invested $1 billion to support the provinces and the territories in reducing their wait times in targeted areas. The provinces and territories continue to roll out those priorities.","wait times guarantee"
"cpc2","1B","Mr. Speaker, I want to remind the House that we do have a plan to support jobs and to create some growth here in Canada. It is a plan that, unfortunately, the NDP and the Liberals voted against. In fact, they voted against things like flowing $1 billion in federal funding to provinces and territories for infrastructure in 2011-12, helping manufacturers by extending the accelerated capital cost allowance for two years, renewing EI pilot projects to help the unemployed, extending work-sharing agreements to help protect jobs, and creating a hiring credit for small business to help create jobs. They need get on side with us and help--","infrastructure"
"cpc2","1B","Mr. Speaker, as I said, I came back to work as a result of government business. With respect, our government has reduced the use of government aircraft by 80% in the past three years. As the hon. member knows, aircraft are used for government business. With respect to the member himself, I am surprised that he would raise the issue of helicopters, given that his government cost taxpayers $1 billion by cancelling the EH-101 program, when it came to the Sea King helicopter replacement.","helicopter"
"cpc2","1B","Mr. Speaker, if that question does not point out how out of touch the NDP members are with taxes and spending, I do not know what does. The NDP members say that CBC is grossly underfunded, but $1 billion is a lot of money. The CBC is receiving a lot of money from taxpayers. We have ensured that the CBC is accountable to taxpayers by ensuring that access to information applies to the CBC. However, we also made a commitment to Canadians that we will balance the budget by 2015, and CBC will do its part.","cbc"
"cpc2","1B","Mr. Speaker, we have a plan to support jobs and growth. It is the second phase of the economic action plan. It includes the small business tax credit, which is very important, and I hope members opposite will choose to support that. The NDP and the Liberals voted against $1 billion in federal funding to the provinces and territories for infrastructure in 2011-12. The opposition also voted against the accelerated capital cost allowance, which would have continued over the past two years. I hope the voting behaviour will match the rhetoric.","infrastructure"
"cpc2","1B","Mr. Speaker, this government has reduced taxes for small business in a number of ways. In fact, the CFIB's president has said repeatedly that this government has done many things to help small businesses to flourish. When we talk about creating jobs, we have a plan to support job creation and to support the fact that small businesses need to flourish by having fewer taxes. They need to be able to hire the people who can help their businesses grow. Unfortunately, the NDP votes against those measures time and time again, like flowing $1 billion in federal funding to provinces and territories for infrastructure, like the accelerated capital cost--","infrastructure"
"cpc2","1B","Mr. Speaker, our government supports official languages. That is why we allocated over $1 billion to the Roadmap for Canada's Linguistic Duality. This represents an unprecedented investment meant to promote and protect bilingualism across the country. In regard to Mr. Ferguson, I have another quote. This comes from the premier of New Brunswick who said: He's outstanding, he's a leader and, quite frankly, that's one of the reasons why I came to him to become deputy minister of Finance in New Brunswick at certainly a very difficult time in the province's history,","language"
"cpc2","1B","Mr. Speaker, as I mentioned, this government has done more for official languages than any other government in Canadian history, including investing over $1 billion in our road map for linguistic duality. Mr. Ferguson is the most qualified candidate for the job. We have many different people quoted as saying that and we will stand behind our candidate.","language"
"cpc2","1B","Not only was the economic action plan in its first phase effective, Mr. Speaker, but in its next phase we have the budget items that the Liberals voted against. They voted against flowing $1 billion in federal funding to provinces and territories for infrastructure 2011-12. They voted against helping manufacturers by extending the capital cost allowance for two years. They voted against renewing EI pilot projects to help the unemployed. They voted against extending work sharing and against the hiring credit for more than half a million small businesses in Canada. That is the Liberal record.","infrastructure"
"cpc2","1B","Mr. Speaker, we set aside money for affordable housing a few years ago. We even added more than $1 billion to our economic action plan specifically for affordable housing. This allowed us to create 14,000 projects to improve, renovate and build housing. Unfortunately the NDP voted against all these initiatives.","affordable housing"
"cpc2","1B","Mr. Speaker, the truth is that the NDP believes that money grows on trees. The truth is that the NDP voted against a $1 billion budget over five years to continue enhancing CATSA, our air security authority. We will continue to work hard to keep Canada's entire transportation system safe.","air security"
"cpc2","1B","Mr. Speaker, secrecy? Speculation? It is called a budget, and leaked documents and speculation about what will be in the budget are not helpful to the military, the public service, or anyone else. I am very proud of the fact that our government has made historic investments in the Canadian Forces, over $1 billion annually. We have invested in infrastructure, personnel, equipment, and in readiness. Guess what? On each and every occasion, the member opposite and his party voted against those investments.","defence"
